Time Step,elbow_target_x,elbow_actual_x,elbow_target_y,elbow_actual_y,elbow_target_z,elbow_actual_z
0,-0.014225315506483703,0.0027854587678579103,0.24313216041292118,0.1915149383993886,-0.37657806726291965,-0.2799820461763551
1,-0.01605403513615853,0.0027854587678579103,0.24474632423442974,0.1915149383993886,-0.3889101103995874,-0.2799820461763551
2,-0.01115613928073988,0.007915642834051722,0.24521550399163455,0.1915149383993886,-0.3974698426996723,-0.27988398946736803
3,-0.0049040486023578765,0.014800129600343173,0.24512852951823685,0.19190588482575735,-0.4020968407123254,-0.27960208112037366
4,-0.010093965592730363,0.027220920887866547,0.2460371561711004,0.1953752838719131,-0.40790383606389424,-0.2786218365263442
5,-0.015705739616814277,0.027220920887866547,0.24668075171307513,0.1953752838719131,-0.41214833860810335,-0.2786218365263442
6,-0.018832863701058297,0.03229920207719445,0.2470471974072821,0.20182283503274942,-0.4149894845368978,-0.277879438096749
7,-0.015067352177199924,0.031029305029231347,0.24551035873237723,0.20353150104676068,-0.41636315627427284,-0.2779461831161285
8,-0.013467592043969688,0.0259379301403412,0.24553742270291495,0.20182283503274942,-0.4165761922998858,-0.27854522855691355
9,-0.012258159980953774,0.0259379301403412,0.24563729051598387,0.20182283503274942,-0.41826199332365366,-0.27854522855691355
10,-0.006619457374673488,0.02293361236179776,0.24528033666547017,0.19791575869567654,-0.4190454233870741,-0.278946930774136
11,-0.007572674167693332,0.024202049445573328,0.24551806983834068,0.19664558970712623,-0.4201875788333417,-0.27887290463592657
12,-0.0019137033381158319,0.02808741387293633,0.2452038528252462,0.19879501254187598,-0.4211606874876955,-0.2784488192403025
13,0.0003931951841812165,0.028901938249450296,0.24510462231347682,0.20182283503274942,-0.4216758627494255,-0.27825329923868536
14,-0.0009129036966989487,0.028901938249450296,0.24519636828430136,0.20182283503274942,-0.42144903320492966,-0.27825329923868536
15,-0.0013681305117623963,0.02889818690168135,0.2452962443493264,0.20265281757137654,-0.42177773352510756,-0.2782171831524807
16,-0.0003640973974730659,0.02633019273631375,0.2452765222412877,0.20094391670269904,-0.4220716964769876,-0.27854434411359524
17,0.0042588935437672506,0.024634853116827653,0.24491937786336254,0.19879501254187598,-0.42196620390757883,-0.2787754863080694
18,0.01336686213577627,0.025513904460021754,0.24421562937776678,0.19752495361534544,-0.4212260126331534,-0.27873359279479
19,0.020423929426026655,0.025513904460021754,0.24365656356553966,0.19752495361534544,-0.4204800344005286,-0.27873359279479
20,0.026326433014098725,0.029350681007371347,0.24318735002848602,0.19879501254187598,-0.41982424124235995,-0.278318496113341
21,0.031285433269537415,0.033612610934186264,0.24279167929993078,0.20094391670269904,-0.4192444380900786,-0.27775964982947293
22,0.035935749870330554,0.038686925132993474,0.24241206061934367,0.20265281757137654,-0.41808875958285735,-0.27702568117642024
23,0.03987687554368487,0.04380195657762192,0.24263047395166631,0.20309217546088934,-0.4169403653542519,-0.27624261717134346
24,0.0392955831656316,0.04380195657762192,0.24300719946298405,0.20309217546088934,-0.41509907922182476,-0.27624261717134346
25,0.03929619906225781,0.048866603257444886,0.24328382253524244,0.20182283503274942,-0.4129023009356035,-0.2754492251901753
