Time Step,hand_target_x,hand_actual_x,hand_target_y,hand_actual_y,hand_target_z,hand_actual_z
0,0.1603125035762787,0.0020693718342234477,0.20331218857967237,0.18938100204932318,-0.8276670118596224,-0.6380217952011125
1,0.16218747943639755,0.0015695344041914035,0.20318635787124523,0.18937330576650566,-0.8267296203008335,-0.6380210240582791
2,0.16499999910593033,0.0015695344041914035,0.20299760805850892,0.18937330576650566,-0.8283398605619164,-0.6380210240582791
3,0.16312502324581146,0.020978858827327793,0.20620218544622199,0.19550051481323277,-0.8346356757147901,-0.6376377370731229
4,0.16968749463558197,0.020978858827327793,0.20587935636975457,0.19550051481323277,-0.8358061016904599,-0.6376377370731229
5,0.16499999910593033,0.04359068647237946,0.20607155550710451,0.20118266015243297,-0.8371393771863381,-0.6351646869491386
6,0.1678125187754631,0.04359068647237946,0.20587560670530264,0.20118266015243297,-0.8357260629222842,-0.6351646869491386
7,0.1743749901652336,0.08944957304867097,0.20561036954135953,0.20478598649703927,-0.8388354164288985,-0.6302630143613395
8,0.16593743115663528,0.11909897462747863,0.20303548029888763,0.20827725479198625,-0.842043454537912,-0.6253533907195385
9,0.17156247049570084,0.11909897462747863,0.20272517190550024,0.20827725479198625,-0.8417892903239272,-0.6253533907195385
10,0.1668749749660492,0.14503052983683556,0.20303975242666372,0.21544166470247508,-0.8471803481223531,-0.6181541771629518
11,0.17250001430511475,0.1538570113105984,0.205740999480477,0.21806549149173615,-0.8462758496747437,-0.6150697902578969
12,0.15187494456768036,0.1538570113105984,0.2068515987613791,0.21806549149173615,-0.8457192758849559,-0.6150697902578969
13,0.1678125187754631,0.14970709748314942,0.20587560670530264,0.21970327056158073,-0.8421883107193826,-0.6163049889908139
14,0.1574999839067459,0.14970709748314942,0.2065364911373014,0.21970327056158073,-0.8454603124402809,-0.6163049889908139
15,0.1509375125169754,0.13656000781833133,0.20685932021376882,0.21842828070021802,-0.8442562915637191,-0.6200509226319351
16,0.1668749749660492,0.11935216251557342,0.20607530517155642,0.2158680889161556,-0.8471803481223531,-0.6242528138454423
17,0.16593743115663528,0.11935216251557342,0.2060638340547148,0.2158680889161556,-0.8450718082937391,-0.6242528138454423
18,0.1724999025464058,0.10067379754778012,0.205606625374678,0.2123215247009582,-0.8417573150002806,-0.6277604102286284
19,0.1771875098347664,0.10067379754778012,0.20522244922346397,0.2123215247009582,-0.8404456632693643,-0.6277604102286284
20,0.19031256437301636,0.08223472450726865,0.2044424036807084,0.2099728044465947,-0.838318336670231,-0.6301601036967056
21,0.18187500536441803,0.0806726517307928,0.20772505173079173,0.2128368683595146,-0.8305672097793221,-0.630248002636096
22,0.19406240433454514,0.08643835321847218,0.20410436160919876,0.21389491499447216,-0.8308667886540053,-0.6294988440477766
23,0.21375004202127457,0.08643835321847218,0.20300148149220543,0.21389491499447216,-0.8299603011723831,-0.6294988440477766
24,0.20906254649162292,0.09088669006253654,0.20606365719806094,0.21671227616210584,-0.8170900567739323,-0.6288279985167289
25,0.22125005722045898,0.09088669006253654,0.20879002497862723,0.21671227616210584,-0.8090364433816651,-0.6288279985167289
26,0.22312503308057785,0.09128704079667439,0.20865459580881943,0.21870884796297613,-0.8023015059151605,-0.6285575728219024
27,0.23624997586011887,0.09326947111610251,0.21076373240176244,0.21771187869743075,-0.7945302669524927,-0.6283112299309296
28,0.24843748658895493,0.09326947111610251,0.21525623938905514,0.21771187869743075,-0.773914484292871,-0.6283112299309296
29,0.2925000339746475,0.11260425856556688,0.2280624529380305,0.21372747741654308,-0.7332162276806385,-0.6253315911703735
30,0.3084374964237213,0.12041376479968731,0.23765210962422717,0.21586812489607402,-0.7085227600930397,-0.6237963766945023
31,0.3150000795722008,0.12963201897214152,0.24456420556761177,0.2205829171765035,-0.6794648282721154,-0.6216916482472722
32,0.32718759030103683,0.12963201897214152,0.2512907834763497,0.2205829171765035,-0.6522668227693398,-0.6216916482472722
33,0.34687500447034836,0.1476391946174433,0.2586418720666098,0.225340802623543,-0.6283933531125121,-0.617435268475503
34,0.33937498927116394,0.18230564163613527,0.2632390016750143,0.23519763148613562,-0.6165164864309008,-0.6074281549311107
35,0.3553125634789467,0.18230564163613527,0.2680293526605132,0.23519763148613562,-0.6080733935145881,-0.6074281549311107
36,0.3553125634789467,0.22244207261914709,0.27025142965310445,0.2459145375717297,-0.6034804965609801,-0.5929868206657432
37,0.35718753933906555,0.22244207261914709,0.2760359297772469,0.2459145375717297,-0.5925605724344338,-0.5929868206657432
38,0.3609374910593033,0.2554277584077102,0.2749539902946229,0.2566530910584253,-0.5806792357084164,-0.5785578118196093
39,0.37406254559755325,0.26620695559056534,0.274068356241538,0.2635480945872243,-0.5659297939406487,-0.5728497702107945
40,0.3759375214576721,0.26620695559056534,0.27816830751341093,0.2635480945872243,-0.556036932357542,-0.5728497702107945
41,0.38343753665685654,0.2604110143683468,0.28455436079894963,0.26537530797272063,-0.5411889483928066,-0.5751471850732706
42,0.390000119805336,0.2567249741778232,0.28387637228334367,0.26624458978305016,-0.5207049559090333,-0.5767091276406417
43,0.38343753665685654,0.2567249741778232,0.28953122738833653,0.26624458978305016,-0.5088393155617921,-0.5767091276406417
44,0.40406249463558197,0.26698353066703573,0.29232246222179614,0.2702035570617919,-0.48282459587136173,-0.5714615324766749
45,0.3853125125169754,0.29259990049226253,0.29305286263719244,0.2789010732825649,-0.442585945897893,-0.5574688469817545
46,0.3871876001358032,0.3203704832651128,0.2902946042010668,0.288543300782954,-0.415187624673143,-0.5403091767672044
47,0.3965625911951065,0.3203704832651128,0.28880157133631823,0.288543300782954,-0.38916775282274796,-0.5403091767672044
48,0.39937499910593033,0.3250475124737374,0.2749108540529031,0.29394669551259517,-0.3587859243426102,-0.536624905648223
49,0.41343748569488525,0.29374170328394666,0.26526359478180345,0.30012048377317974,-0.3430350801014193,-0.5527194223924362
50,0.4059375822544098,0.24303073664460748,0.26564693141311174,0.3059056300463744,-0.32375048790669836,-0.5727034767528638
51,0.4040626063942909,0.24303073664460748,0.2659023413501775,0.3059056300463744,-0.29738231504016926,-0.5727034767528638
52,0.39093755185604095,0.18587510658778142,0.26985472043007097,0.294038274012959,-0.27064424714279683,-0.5930424077731358
53,0.3974999114871025,0.14251284961524024,0.2729585970526619,0.27623608756102236,-0.25073137273492757,-0.6009244038092173
54,0.39187509566545486,0.15587475741552936,0.2734512609258387,0.27413157636233565,-0.23068217034830693,-0.5942677117066253
55,0.41718754917383194,0.15587475741552936,0.27008717167724416,0.27413157636233565,-0.21822638337311737,-0.5942677117066253
56,0.3946875035762787,0.19940306905660524,0.27090606316137344,0.28332989862021696,-0.20432692588153814,-0.5725123178085629
57,0.4040626063942909,0.2693594710332041,0.27648478290330675,0.29454841980024266,-0.19383278262812742,-0.5364890198236635
58,0.4050000384449959,0.3364887602501068,0.2767482229909721,0.31532717979242025,-0.18945744660377903,-0.4919365115218579
59,0.40781255811452866,0.3364887602501068,0.27665306003608775,0.31532717979242025,-0.18752342253223853,-0.4919365115218579
60,0.41437502950429916,0.36409101246480985,0.2823917371298448,0.33342011663251875,-0.18627740453174985,-0.4673310614306218
61,0.4181249812245369,0.36409101246480985,0.28706655567224126,0.33342011663251875,-0.18930507375335776,-0.4673310614306218
62,0.403125062584877,0.3753541021338981,0.29556969843130476,0.3465773826096691,-0.18475328570316527,-0.454645171094687
63,0.4096875339746475,0.3753541021338981,0.3037992082920703,0.3465773826096691,-0.18454391497661093,-0.454645171094687
64,0.40687501430511475,0.36488689657048123,0.31709723480783536,0.3394778976680146,-0.17899584915118816,-0.46222758189709323
65,0.3871876001358032,0.3683037906554402,0.32860255673883276,0.32960587467866026,-0.1736608303788844,-0.4625896787875582
66,0.3853125125169754,0.3683037906554402,0.33684401218760884,0.32960587467866026,-0.17380394606062052,-0.4625896787875582
67,0.39000000804662704,0.36846493865034385,0.345033771145272,0.32868825865982276,-0.17208913873333495,-0.4627373437189188
68,0.37968747317790985,0.37750543718176516,0.3578896652459382,0.33750685705895767,-0.17524835152453772,-0.45176520297212003
69,0.3674999624490738,0.37750543718176516,0.37729762631531516,0.33750685705895767,-0.17388816621611075,-0.45176520297212003
70,0.36468755453824997,0.39372906893443044,0.3963787821041289,0.34175330494712547,-0.17659969331542844,-0.43555724234760224
71,0.34781254827976227,0.4172961686246383,0.419465645339388,0.36903843222910926,-0.18737358476030624,-0.4032260820509285
72,0.3421875089406967,0.4308565599335114,0.4491092381792219,0.4299742793785548,-0.2011401782189137,-0.35686384421497097
73,0.3337499499320984,0.4308565599335114,0.4653955621214193,0.4299742793785548,-0.2180166152778729,-0.35686384421497097
74,0.3599999472498894,0.43159599534794607,0.4804050411873844,0.5122059372768526,-0.23529168492883748,-0.2866657483859762
75,0.3131251037120819,0.42846136708805177,0.4912056956655004,0.5746106019934619,-0.23278181770700118,-0.20684967198979395
76,0.28031252324581146,0.42846136708805177,0.500220380191897,0.5746106019934619,-0.23825359025391005,-0.20684967198979395
77,0.30656252056360245,0.43226538331706965,0.5162448989803752,0.6068280217534616,-0.24965671919904595,-0.12893354950026753
78,0.29156260192394257,0.4400150707527775,0.5284386956238525,0.6176191083064511,-0.25433397362794635,-0.06381250765236228
79,0.2596874535083771,0.4400150707527775,0.5422449445977806,0.6176191083064511,-0.25810360967890567,-0.06381250765236228
80,0.26625003665685654,0.4497443156507899,0.549471392582892,0.6151040351158735,-0.2588013223530076,-0.008892996259888902
81,0.2653126046061516,0.46073626851864474,0.56010953816927,0.6047617351149547,-0.26268232846232936,0.035255040229050974
82,0.28874997049570084,0.46073626851864474,0.5698173888446112,0.6047617351149547,-0.27100901064062866,0.035255040229050974
83,0.2775000035762787,0.4668268572331136,0.5829593463328797,0.5978787369589218,-0.2801993077752252,0.054834388321732985
84,0.2775000035762787,0.4668268572331136,0.59161247083097,0.5978787369589218,-0.283083682607922,0.054834388321732985
