Time Step,hand_target_x,hand_actual_x,hand_target_y,hand_actual_y,hand_target_z,hand_actual_z
0,0.11966869274682448,0.0037094043334882495,0.21816342841483494,0.19145649155282524,-0.7824005782632059,-0.6380784159912867
1,0.12442130069013381,0.0037094043334882495,0.2188127240584514,0.19145649155282524,-0.8082489858674311,-0.6380784159912867
2,0.1338621763267124,0.023583250939689892,0.21868551664586425,0.1915949123242891,-0.8228591820643986,-0.6376386355958198
3,0.13802632429031092,0.04950264754295455,0.21871742502908353,0.19891453633054207,-0.8332166818639487,-0.6358661311271577
4,0.14190253535815023,0.0862917201917289,0.21866001843538654,0.21065730726712825,-0.841542644408378,-0.6311590153980207
5,0.13974005485685684,0.0862917201917289,0.21891541904572814,0.21065730726712825,-0.846599250354495,-0.6311590153980207
6,0.13989812149107592,0.10205844738827205,0.21894074109359718,0.22537565423162573,-0.8491271874555364,-0.6279998094801681
7,0.14117882033500895,0.0986921715452061,0.21996405859662962,0.2292510513038922,-0.8505920795353962,-0.6283254109331635
8,0.1388613939139508,0.08225786380964832,0.22207444091963685,0.22530002327111687,-0.8523324854342825,-0.6310821043020681
9,0.1409199350107807,0.08225786380964832,0.22333670112715076,0.22530002327111687,-0.8528109449411743,-0.6310821043020681
10,0.1424200101477295,0.07440977769116569,0.22428575010324148,0.2164007763185191,-0.8535117391304294,-0.6325199367894656
11,0.14483208065438236,0.07833811153740086,0.22485799430105716,0.2135285186093913,-0.853218732361707,-0.6321286413892315
12,0.14789335383004093,0.08769026947458747,0.22527437303787282,0.2184243229423566,-0.8544368342688219,-0.6306810605720405
13,0.14954280826551758,0.09167708231181272,0.2255922700399321,0.2253382959954023,-0.8546756036579908,-0.6296955653933314
14,0.1494712403195822,0.09167708231181272,0.22664996659232578,0.2253382959954023,-0.8533180760028596,-0.6296955653933314
15,0.15422968378475121,0.09221883982987523,0.22711236191344247,0.22723217773711346,-0.8512690259014744,-0.629488747647587
16,0.16328807630212638,0.08425791855112592,0.227654580192685,0.22331783684080675,-0.8468655451664908,-0.6308923941093729
17,0.1741343722343242,0.07931340291228879,0.2277775520851732,0.21841601192148752,-0.8405819730173578,-0.6318061289325589
18,0.18673490881838256,0.08241843193542575,0.22818425809766235,0.2155450709452209,-0.8333230450882707,-0.6314976955326792
19,0.19948064484043565,0.08241843193542575,0.22880486507264458,0.2155450709452209,-0.8246993409067755,-0.6314976955326792
20,0.2128338636721462,0.09436001564537623,0.22955609488041598,0.21848079665408196,-0.815112838046908,-0.6295899273030421
21,0.22699144851974398,0.1072296492687348,0.23036552860799145,0.22340922190267581,-0.8036608493781415,-0.627160857305021
22,0.23960224863603724,0.12292598464144326,0.2319116534305859,0.22734575461506787,-0.7911639753503477,-0.6238677227018639
23,0.25062401177089944,0.13811379783840688,0.23417999396490746,0.22838834289965837,-0.7782450737993885,-0.6204384082077239
24,0.2573927714693213,0.13811379783840688,0.2370142580786328,0.22838834289965837,-0.7638535356463806,-0.6204384082077239
25,0.2634273667521785,0.15265859426675324,0.24025847076680246,0.2255486528762785,-0.7486993448659476,-0.6170186474548576
26,0.26939205571976826,0.16431829787370061,0.2441408331802754,0.22359560379694793,-0.7329544149878149,-0.613939443127116
27,0.2772983257951294,0.1735473956735817,0.24845249512254708,0.2236274582782795,-0.7160202784509229,-0.6112264829912023
28,0.2841388863718794,0.1811762414233397,0.25285790314053014,0.22950814435428246,-0.6978730666664132,-0.6085157104466932
29,0.2937253834028317,0.1811762414233397,0.25733355908717387,0.22950814435428246,-0.6791154644220859,-0.6085157104466932
30,0.3022348725136581,0.18768195061207005,0.26225429095064157,0.23626164659986307,-0.6595940070146891,-0.6059165094507105
31,0.3122110276842115,0.19669274554052935,0.2673723041112122,0.24113254897859848,-0.6405059818814446,-0.6024642007935886
32,0.3219385241372187,0.2098968658839652,0.2722174739094473,0.24313913922578095,-0.6225626081201787,-0.5974857763854117
33,0.3308731330787601,0.22801969613669262,0.2763853153095817,0.2450288325609889,-0.6046030771847968,-0.5902256185055452
34,0.33877284137884706,0.22801969613669262,0.28004038926101593,0.2450288325609889,-0.5853206487579391,-0.5902256185055452
35,0.3470801375063382,0.24932623690037897,0.283199881143243,0.25370275352276744,-0.5642051003921358,-0.5801055473185659
36,0.35337211842339666,0.27060177221990966,0.28632523542864113,0.2633013399335881,-0.5426199129918071,-0.5686635597228499
37,0.3578729456320311,0.2866365316692327,0.289257114457954,0.2700072839346389,-0.5204504546081619,-0.5591620527750892
38,0.36473626917272567,0.3019072554201091,0.29121636182619953,0.2765759450407712,-0.4983369027709008,-0.5495348431124167
39,0.37217663436726084,0.3019072554201091,0.2927993810694023,0.2765759450407712,-0.47656755518541805,-0.5495348431124167
40,0.37872281288532433,0.3145884617824872,0.2941774218796768,0.27845907517046664,-0.455765688123913,-0.5415055132155602
41,0.3833714222437159,0.326075104979961,0.295207835140863,0.2818317475869193,-0.43667874908158755,-0.5312810923187118
42,0.38807081783776515,0.33715793273226846,0.2960058294427022,0.28485729785083647,-0.41831108825154717,-0.5151007858584261
43,0.39358984543507897,0.33715793273226846,0.29635183703886847,0.28485729785083647,-0.4003723939740612,-0.5151007858584261
44,0.3980405659348884,0.34525628250123697,0.29644555557496943,0.28855650134899785,-0.3835395942290238,-0.4956961695184284
45,0.4002952080372319,0.347953739118112,0.29655254439096757,0.2925959366861487,-0.36679576487511223,-0.48322213696845684
46,0.4020397172002027,0.3609768633512705,0.29722650400423356,0.29222481612994705,-0.35024853416370216,-0.4605939254574022
